"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2059,"SLR_Temp_Low","york",3378146.41521181,18320178.0587261
2060,"SLR_Temp_Low","york",3346261.43466702,18232538.6608052
2061,"SLR_Temp_Low","york",3313514.05343697,18142686.5414364
2062,"SLR_Temp_Low","york",3279904.27152168,18050621.7006196
2063,"SLR_Temp_Low","york",3245432.08892114,17956344.138355
2064,"SLR_Temp_Low","york",3210097.50563536,17859853.8546424
2065,"SLR_Temp_Low","york",3173900.52166432,17761150.8494818
2066,"SLR_Temp_Low","york",3136841.13700804,17660235.1228734
2067,"SLR_Temp_Low","york",3098919.3516665,17557106.674817
2068,"SLR_Temp_Low","york",3060135.16563972,17451765.5053127
2069,"SLR_Temp_Low","york",3020488.57892769,17344211.6143605
2070,"SLR_Temp_Low","york",2979979.59153041,17234445.0019603
2071,"SLR_Temp_Low","york",2938608.20344788,17122465.6681122
2072,"SLR_Temp_Low","york",2896374.4146801,17008273.6128162
2073,"SLR_Temp_Low","york",2853278.22522708,16891868.8360723
2074,"SLR_Temp_Low","york",2809319.6350888,16773251.3378805
2075,"SLR_Temp_Low","york",2764498.64426528,16652421.1182407
2076,"SLR_Temp_Low","york",2718815.2527565,16529378.177153
2077,"SLR_Temp_Low","york",2672269.46056248,16404122.5146173
2078,"SLR_Temp_Low","york",2624861.26768321,16276654.1306338
2079,"SLR_Temp_Low","york",2576590.67411869,16146973.0252023
2080,"SLR_Temp_Low","york",2527457.67986892,16015079.1983229
2081,"SLR_Temp_Low","york",2477462.28493391,15880972.6499955
2082,"SLR_Temp_Low","york",2426604.48931364,15744653.3802203
2083,"SLR_Temp_Low","york",2374884.29300813,15606121.3889971
2084,"SLR_Temp_Low","york",2322301.69601737,15465376.676326
2085,"SLR_Temp_Low","york",2268856.69834135,15322419.2422069
2086,"SLR_Temp_Low","york",2214549.2999801,15177249.08664
2087,"SLR_Temp_Low","york",2159379.50093358,15029866.2096251
2088,"SLR_Temp_Low","york",2103347.30120183,14880270.6111623
2089,"SLR_Temp_Low","york",2046452.70078482,14728462.2912515
2090,"SLR_Temp_Low","york",1988695.69968257,14574441.2498928
2091,"SLR_Temp_Low","york",1930076.29789506,14418207.4870863
2092,"SLR_Temp_Low","york",1870594.49542231,14259761.0028317
2093,"SLR_Temp_Low","york",1810250.2922643,14099101.7971293
2094,"SLR_Temp_Low","york",1749043.68842106,13936229.8699789
2095,"SLR_Temp_Low","york",1686974.68389256,13771145.2213806
