"Scenario","Year","Mean_Sea_Level_m","Portland_Annual_Temp","Belfast_Annual_Temp","Moosehead_Annual_Temp","Gardiner_Annual_Temp","Augusta_Annual_Temp","Annual_NAO","Civilian_Population_Millions","State_Population","species","Total_Weight_kg","Total_Value","Avg_Market_Price","County","Lobster_Pounds","Lobster_Value","ENSO_Phase","Portland_Annual_Precip","Belfast_Annual_Precip","Moosehead_Annual_Precip","Gardiner_Annual_Precip","Augusta_Annual_Precip","GDP..Billions.of.US...","Per.Capita..US...","Annual...Change","Civilian.Population..Millions.","Fresh.And.Frozen..Pounds.","Canned..Pounds.","Cured..Pounds.","Total..Pounds.","Fishery_Exports","Predicted_Landings","Predicted_Consumption","Predicted_Exports","Predicted_Market_Value","Predicted_Blue_Economy_Value"
"Baseline",2037,2.17506457702622,48.5001912109365,53.6583785826895,53.288646339945,46.705259108355,46.705259108355,0.0455861821789725,378.016597976147,1510478.69829773,"Yellow Eel",7633678.73551666,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,7633678.73551666,17.5311999999998,4088937.05102828,0.77708361423661,5525200.14321666
"Baseline",2038,2.17709327589139,48.549362577546,53.774114563314,53.762883910846,46.7288049757077,46.7288049757077,0.0476190407585397,380.655003760482,1517407.67661347,"Yellow Eel",7633678.73551666,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,7633678.73551666,17.5311999999998,4088937.05102828,0.77708361423661,5525200.14321666
"Baseline",2039,2.17912197475656,48.5985339441555,53.8898505439385,54.237121481747,46.7523508430603,46.7523508430603,0.049651899338107,383.293409544818,1524336.65492921,"Yellow Eel",7632834.27326666,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,7632834.27326666,17.5311999999998,4088937.05102828,0.77708361423661,5525200.14321666
"Baseline",2040,2.18115067362173,48.647705310765,54.005586524563,54.711359052648,46.7758967104129,46.7758967104129,0.0516847579176742,385.931815329153,1531265.63324494,"Yellow Eel",7630748.99026666,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,7630748.99026666,17.5311999999998,4088937.05102828,0.77708361423661,5525200.14321666
"Low_Climate",2020,2.14057669631836,47.6642779785755,51.6908669120731,45.2266076346275,46.3049793633605,46.3049793633605,0.0110275863263301,333.163699642443,1392686.06693021,"Yellow Eel",5566040.69353333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,5566040.69353333,17.1069596322654,4181692.23627828,0.794265210636757,4803684.29455
"Low_Climate",2021,2.14288039518353,47.735949345185,51.8291028926976,45.7233452055285,46.3510252307131,46.3510252307131,0.0130604449058973,335.802105426778,1399615.04524595,"Yellow Eel",5568617.46153333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,5568617.46153333,17.1069596322654,4181692.23627828,0.794265210636757,4803684.29455
"Low_Climate",2022,2.1457340940487,47.8076207117944,51.9673388733221,46.2200827764296,46.3970710980657,46.3970710980657,0.0150933034854646,338.440511211114,1406544.02356168,"Yellow Eel",5539927.63083333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,5539927.63083333,17.1069596322654,4181692.23627828,0.794265210636757,4803684.29455
"Low_Climate",2023,2.14913779291387,47.8792920784039,52.1055748539466,46.7168203473306,46.4431169654184,46.4431169654184,0.0171261620650318,341.07891699545,1413473.00187742,"Yellow Eel",5790286.8415,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,5790286.8415,17.1034346322654,4177048.38367828,0.7916047078299,4770155.67646666
"Low_Climate",2024,2.15309149177903,47.9509634450134,52.2438108345711,47.2135579182317,46.489162832771,46.489162832771,0.0191590206445991,343.717322779785,1420401.98019315,"Yellow Eel",7556304.45573333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,7556304.45573333,17.5327999999998,4088937.05102828,0.775933779103359,5313855.83356666
"Low_Climate",2025,2.1575951906442,48.0226348116229,52.3820468151956,47.7102954891326,46.5352087001236,46.5352087001236,0.0211918792241663,346.355728564121,1427330.95850889,"Yellow Eel",7556720.04388333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,7556720.04388333,17.5327999999998,4088937.05102828,0.775933779103359,5313855.83356666
