"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1964/05/01","00:00","13.13","NaN","10.728","5.479","5.528","0.318","NaN","-2.07","0"
"1964/06/01","00:00","13.428","NaN","10.689","5.4","5.41","0.138","NaN","-2.172","0"
"1964/07/01","00:00","13.13","NaN","10.669","5.367","5.358","0.049","NaN","-2.07","0"
"1964/08/01","00:00","13.028","NaN","10.889","5.528","5.489","0.089","NaN","-1.772","0"
"1964/09/01","00:00","12.828","NaN","10.928","5.469","5.449","-0.043","NaN","-1.27","0"
"1964/10/01","00:00","12.628","NaN","10.728","5.41","5.348","-0.03","NaN","-1.371","0"
"1964/11/01","00:00","14.029","NaN","10.968","5.728","5.719","0.469","NaN","-1.87","0"
"1964/12/01","00:00","13.428","NaN","10.728","5.367","5.42","0.108","NaN","-2.372","0"
"1965/01/01","00:00","13.629","NaN","10.778","5.548","5.587","0.41","NaN","-2.671","0"
"1965/02/01","00:00","12.93","NaN","10.83","5.6","5.568","0.318","NaN","-2.172","0"
"1965/03/01","00:00","12.428","NaN","10.659","5.42","5.39","0.118","NaN","-1.67","0"
"1965/04/01","00:00","12.628","NaN","10.869","5.64","5.6","0.328","NaN","-1.07","0"
"1965/05/01","00:00","12.93","NaN","10.768","5.469","5.489","0.21","NaN","-1.47","0"
"1965/06/01","00:00","13.228","NaN","10.968","5.64","5.64","0.308","NaN","-1.67","0"
"1965/07/01","00:00","13.33","NaN","10.879","5.499","5.509","0.148","NaN","-2.172","0"
"1965/08/01","00:00","13.228","NaN","10.978","5.65","5.64","0.299","NaN","-1.572","0"
"1965/09/01","00:00","13.13","NaN","10.879","5.659","5.669","0.449","NaN","-1.171","0"
"1965/10/01","00:00","13.13","NaN","11.01","5.938","5.879","0.748","NaN","-0.873","0"
"1965/11/01","00:00","12.828","NaN","10.909","5.82","5.778","0.65","NaN","-1.07","0"
"1965/12/01","00:00","12.628","NaN","10.758","5.738","5.689","0.61","NaN","-1.572","0"
"1966/01/01","00:00","13.629","NaN","10.909","5.748","5.748","0.587","NaN","-1.47","0"
"1966/02/01","00:00","13.53","NaN","10.978","5.61","5.587","0.2","NaN","-2.27","0"
"1966/03/01","00:00","13.829","NaN","10.869","5.65","5.61","0.348","NaN","-2.07","0"
"1966/04/01","00:00","13.13","NaN","10.768","5.528","5.459","0.138","NaN","-1.972","0"
"1966/05/01","00:00","12.828","NaN","10.85","5.548","5.528","0.22","NaN","-1.87","0"
"1966/06/01","00:00","12.329","NaN","10.81","5.568","5.548","0.279","NaN","-1.47","0"
"1966/07/01","00:00","13.33","NaN","10.909","5.728","5.669","0.43","NaN","-1.47","0"
"1966/08/01","00:00","13.228","NaN","10.797","5.63","5.6","0.4","NaN","-1.772","0"
"1966/09/01","00:00","13.428","NaN","10.909","5.719","5.669","0.44","NaN","-1.87","0"
"1966/10/01","00:00","12.828","NaN","10.689","5.528","5.509","0.338","NaN","-2.27","0"
"1966/11/01","00:00","13.228","NaN","11.079","5.85","5.85","0.61","NaN","-1.772","0"
"1966/12/01","00:00","13.028","NaN","10.65","5.499","5.459","0.269","NaN","-2.172","0"
"1967/01/01","00:00","14.327","NaN","10.978","5.65","5.659","0.338","NaN","-1.171","0"
"1967/02/01","00:00","12.73","NaN","10.758","5.528","5.509","0.259","NaN","-2.27","0"
"1967/03/01","00:00","13.228","NaN","10.748","5.44","5.449","0.148","NaN","-2.172","0"
"1967/04/01","00:00","13.428","NaN","10.85","5.65","5.65","0.449","NaN","-2.172","0"
"1967/05/01","00:00","NaN","NaN","11.178","5.82","5.83","0.479","NaN","NaN","0"
"1967/06/01","00:00","13.13","NaN","11.01","5.787","5.797","0.577","NaN","-1.27","0"
"1967/07/01","00:00","NaN","NaN","11.01","5.86","5.86","0.709","NaN","NaN","0"
"1967/08/01","00:00","12.329","NaN","10.62","5.528","5.528","0.44","NaN","-1.171","0"
"1967/09/01","00:00","12.53","NaN","10.768","5.63","5.62","0.469","NaN","-1.572","0"
"1967/10/01","00:00","13.13","NaN","10.81","5.568","5.568","0.328","NaN","-1.67","0"
"1967/11/01","00:00","13.829","NaN","10.587","5.39","5.377","0.167","NaN","-2.172","0"
"1967/12/01","00:00","13.33","NaN","10.84","5.518","5.538","0.24","NaN","-2.47","0"
"1968/01/01","00:00","NaN","NaN","10.469","5.318","5.328","0.18","NaN","NaN","0"
"1968/02/01","00:00","NaN","NaN","10.587","5.518","5.499","0.41","NaN","NaN","0"
"1968/03/01","00:00","NaN","NaN","10.65","5.39","5.4","0.138","NaN","NaN","0"
"1968/04/01","00:00","13.028","NaN","10.509","5.43","5.41","0.299","NaN","-2.372","0"
"1968/05/01","00:00","13.13","NaN","10.699","5.61","5.6","0.499","NaN","-2.47","0"
"1968/06/01","00:00","13.228","NaN","10.84","5.659","5.669","0.499","NaN","-1.972","0"
"1968/07/01","00:00","12.73","NaN","10.64","5.459","5.459","0.269","NaN","-1.972","0"
"1968/08/01","00:00","12.628","NaN","10.699","5.548","5.538","0.367","NaN","-1.27","0"
"1968/09/01","00:00","12.428","NaN","10.587","5.459","5.449","0.299","NaN","-1.07","0"
"1968/10/01","00:00","13.13","NaN","10.61","5.538","5.528","0.44","NaN","-1.772","0"
"1968/11/01","00:00","13.629","NaN","10.85","5.679","5.689","0.518","NaN","-2.47","0"
"1968/12/01","00:00","13.829","NaN","10.63","5.479","5.479","0.318","NaN","-2.27","0"
"1969/01/01","00:00","13.228","NaN","10.479","5.338","5.348","0.22","NaN","-2.47","0"
"1969/02/01","00:00","12.53","NaN","10.879","5.659","5.679","0.479","NaN","-2.07","0"
"1969/03/01","00:00","12.329","NaN","10.84","5.65","5.65","0.449","NaN","-1.47","0"
"1969/04/01","00:00","12.428","NaN","10.709","5.459","5.469","0.23","NaN","-1.67","0"
"1969/05/01","00:00","13.028","NaN","10.82","5.528","5.538","0.259","NaN","-1.572","0"
"1969/06/01","00:00","13.228","NaN","10.938","5.65","5.65","0.348","NaN","-1.87","0"
"1969/07/01","00:00","13.228","NaN","10.958","5.64","5.64","0.308","NaN","-2.07","0"
"1969/08/01","00:00","12.93","NaN","11.01","5.709","5.719","0.42","NaN","-1.572","0"
"1969/09/01","00:00","12.73","NaN","10.748","5.61","5.6","0.449","NaN","-0.873","0"
"1969/10/01","00:00","12.828","NaN","10.709","5.699","5.689","0.669","NaN","-1.371","0"
"1969/11/01","00:00","13.428","NaN","10.787","5.738","5.728","0.669","NaN","-1.07","0"
"1969/12/01","00:00","13.53","NaN","10.758","5.689","5.679","0.6","NaN","-2.07","0"
"1970/01/01","00:00","13.629","NaN","10.728","5.6","5.61","0.479","NaN","-1.47","0"
"1970/02/01","00:00","13.028","NaN","10.787","5.509","5.518","0.249","NaN","-2.47","0"
"1970/03/01","00:00","13.33","NaN","10.689","5.538","5.509","0.338","NaN","-1.772","0"
"1970/04/01","00:00","12.93","NaN","10.86","5.61","5.587","0.318","NaN","-1.87","0"
"1970/05/01","00:00","12.428","NaN","10.689","5.44","5.43","0.157","NaN","-1.47","0"
"1970/06/01","00:00","12.73","NaN","10.84","5.63","5.62","0.41","NaN","-1.572","0"
"1970/07/01","00:00","13.13","NaN","10.719","5.577","5.577","0.44","NaN","-1.772","0"
"1970/08/01","00:00","13.33","NaN","10.919","5.709","5.738","0.558","NaN","-1.87","0"
"1970/09/01","00:00","12.628","NaN","10.768","5.64","5.65","0.528","NaN","-1.87","0"
"1970/10/01","00:00","12.93","NaN","10.679","5.558","5.558","0.44","NaN","-1.67","0"
"1970/11/01","00:00","13.13","NaN","10.889","5.778","5.768","0.64","NaN","-1.47","0"
"1970/12/01","00:00","13.13","NaN","11.089","5.919","5.948","0.797","NaN","-1.07","0"
"1971/01/01","00:00","NaN","NaN","11.02","5.768","5.768","0.518","NaN","NaN","5"
"1971/02/01","00:00","13.33","NaN","10.768","5.538","5.528","0.289","NaN","-1.722","0"
"1971/03/01","00:00","13.589","NaN","11.089","5.709","5.719","0.348","NaN","-2.051","0"
"1971/04/01","00:00","13.419","NaN","10.869","5.62","5.64","0.41","NaN","-1.752","0"
"1971/05/01","00:00","12.73","NaN","10.797","5.64","5.64","0.479","NaN","-1.512","0"
"1971/06/01","00:00","12.448","NaN","10.768","5.63","5.63","0.479","NaN","-0.971","0"
"1971/07/01","00:00","12.178","NaN","10.489","5.41","5.39","0.289","NaN","-1.24","0"
"1971/08/01","00:00","12.68","NaN","10.61","5.558","5.538","0.469","NaN","-1.293","0"
"1971/09/01","00:00","12.628","NaN","10.699","5.509","5.518","0.328","NaN","-1.752","0"
"1971/10/01","00:00","13.698","NaN","10.909","5.659","5.659","0.4","NaN","-1.732","0"
"1971/11/01","00:00","13.789","NaN","11.01","5.797","5.797","0.587","NaN","-1.65","0"
"1971/12/01","00:00","12.789","NaN","10.699","5.509","5.509","0.308","NaN","-1.942","0"
"1972/01/01","00:00","12.539","NaN","10.728","5.518","5.518","0.308","NaN","-1.611","0"
"1972/02/01","00:00","13.76","NaN","10.758","5.577","5.577","0.4","NaN","-1.801","0"
"1972/04/01","00:00","13.799","NaN","10.928","5.797","5.797","0.669","NaN","-1.722","0"
"1972/05/01","00:00","13.228","NaN","10.748","5.709","5.689","0.61","NaN","-1.67","0"
"1972/09/01","00:00","12.657","NaN","10.968","5.768","5.768","0.558","NaN","-1.362","0"
"1972/10/01","00:00","13.268","NaN","10.82","5.689","5.569","0.308","NaN","-1.87","0"
"1972/11/01","00:00","14.199","NaN","11.02","5.748","5.748","0.479","NaN","-2.31","0"
"1973/01/01","00:00","NaN","NaN","10.518","5.338","5.338","0.157","NaN","NaN","5"
"1973/02/01","00:00","12.838","NaN","10.61","5.279","5.279","-0.052","NaN","-2.08","0"
"1973/03/01","00:00","12.877","NaN","10.577","5.358","5.358","0.138","NaN","-1.66","0"
"1973/04/01","00:00","13.73","NaN","10.85","5.469","5.459","0.079","NaN","-1.742","0"
"1973/05/01","00:00","NaN","NaN","10.899","5.469","5.469","0.049","NaN","NaN","5"
