"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1959/12/01","00:00","13.047","NaN","9.477","4.776","4.746","0.025","NaN","-2.255","0"
"1960/01/01","00:00","11.347","NaN","9.405","4.785","4.756","0.107","NaN","-2.055","0"
"1960/02/01","00:00","12.046","NaN","9.687","5.136","5.117","0.547","NaN","-2.055","0"
"1960/03/01","00:00","11.045","NaN","9.526","4.874","4.887","0.245","NaN","-1.455","0"
"1960/04/01","00:00","11.347","NaN","9.556","4.986","4.956","0.356","NaN","-1.655","0"
"1960/05/01","00:00","11.646","NaN","9.566","5.117","5.097","0.625","NaN","-1.455","0"
"1960/06/01","00:00","12.046","NaN","9.566","4.966","4.986","0.396","NaN","-1.855","0"
"1960/07/01","00:00","11.445","NaN","9.444","4.835","4.844","0.255","NaN","-2.154","0"
"1960/08/01","00:00","11.445","NaN","9.464","4.926","4.874","0.284","NaN","-1.753","0"
"1960/09/01","00:00","11.045","NaN","9.444","4.776","4.756","0.064","NaN","-1.353","0"
"1960/10/01","00:00","11.646","NaN","9.497","4.887","4.844","0.195","NaN","-1.353","0"
"1960/11/01","00:00","11.245","NaN","9.365","4.756","4.746","0.117","NaN","-1.655","0"
"1960/12/01","00:00","12.446","NaN","9.205","4.585","4.566","-0.074","NaN","-2.255","0"
"1961/01/01","00:00","12.745","NaN","9.326","4.687","4.716","0.097","NaN","-2.856","0"
"1961/02/01","00:00","12.145","NaN","9.516","4.836","4.815","0.116","NaN","-1.753","5"
"1961/03/01","00:00","11.846","NaN","9.634","5.034","5.015","0.396","NaN","-1.455","5"
"1961/04/01","00:00","12.446","NaN","9.795","5.274","5.255","0.716","NaN","-0.454","5"
"1961/05/01","00:00","NaN","NaN","9.536","4.936","4.917","0.294","NaN","NaN","5"
"1961/06/01","00:00","NaN","NaN","9.415","4.736","4.716","0.015","NaN","NaN","5"
"1961/07/01","00:00","11.744","NaN","9.585","4.805","4.805","0.025","NaN","-1.855","0"
"1961/08/01","00:00","11.347","NaN","9.356","4.716","4.677","-0.005","NaN","-2.055","0"
"1961/09/01","00:00","11.544","NaN","9.405","4.805","4.776","0.136","NaN","-1.553","0"
"1961/10/01","00:00","11.944","NaN","9.487","4.966","4.936","0.396","NaN","-1.255","0"
"1961/11/01","00:00","11.445","NaN","9.516","4.995","4.976","0.445","NaN","-0.854","0"
"1961/12/01","00:00","11.347","NaN","9.306","4.854","4.854","0.405","NaN","-1.353","0"
"1962/01/01","00:00","11.944","NaN","8.834","4.454","4.375","-0.093","NaN","-2.055","0"
"1962/02/01","00:00","11.646","NaN","9.215","4.615","4.615","0.015","NaN","-2.154","0"
"1962/03/01","00:00","12.144","NaN","9.536","4.926","4.887","0.235","NaN","-1.855","0"
"1962/04/01","00:00","10.845","NaN","9.356","4.697","4.677","0.005","NaN","-2.154","0"
"1962/05/01","00:00","11.445","NaN","9.497","4.795","4.776","0.054","NaN","-1.553","0"
"1962/06/01","00:00","11.045","NaN","9.395","4.776","4.785","0.176","NaN","-1.553","0"
"1962/07/01","00:00","10.645","NaN","9.444","4.995","4.936","0.425","NaN","-0.956","0"
"1962/08/01","00:00","11.347","NaN","9.326","4.756","4.776","0.225","NaN","-1.553","0"
"1962/09/01","00:00","11.245","NaN","9.306","4.726","4.736","0.166","NaN","-1.855","0"
"1962/10/01","00:00","11.445","NaN","9.516","4.976","4.956","0.386","NaN","-2.154","0"
"1962/11/01","00:00","11.944","NaN","9.497","4.874","4.864","0.235","NaN","-1.553","0"
"1962/12/01","00:00","11.846","NaN","9.516","4.844","4.874","0.245","NaN","-1.953","0"
"1963/01/01","00:00","12.144","NaN","9.185","4.595","4.526","-0.136","NaN","-2.455","0"
"1963/02/01","00:00","10.845","NaN","8.945","4.346","4.306","-0.323","NaN","-2.354","0"
"1963/03/01","00:00","11.245","NaN","9.346","4.687","4.687","0.015","NaN","-1.953","0"
"1963/04/01","00:00","12.046","NaN","9.434","4.776","4.785","0.146","NaN","-2.055","0"
"1963/05/01","00:00","11.045","NaN","9.215","4.644","4.585","-0.034","NaN","-2.455","0"
"1963/06/01","00:00","11.445","NaN","9.336","4.776","4.726","0.127","NaN","-1.953","0"
"1963/07/01","00:00","11.347","NaN","9.277","4.805","4.785","0.307","NaN","-1.055","0"
"1963/08/01","00:00","10.445","NaN","9.155","4.726","4.697","0.235","NaN","-1.255","0"
"1963/09/01","00:00","10.845","NaN","9.136","4.654","4.634","0.136","NaN","-1.255","0"
"1963/10/01","00:00","10.947","NaN","9.205","4.654","4.625","0.054","NaN","-1.753","0"
"1963/11/01","00:00","12.646","NaN","9.677","5.064","4.986","0.294","NaN","-2.154","0"
"1963/12/01","00:00","11.944","NaN","9.267","4.605","4.585","-0.093","NaN","-3.154","0"
"1964/01/01","00:00","11.245","NaN","9.356","4.736","4.697","0.025","NaN","-1.855","0"
"1964/02/01","00:00","11.245","NaN","9.116","4.556","4.526","-0.064","NaN","-1.655","0"
