GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,A00AA1930,A00AA1940,A00AA1950,A00AA1960,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010,A00AA2020
GIS Join Match Code,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,NHGIS Integrated County Name,FIPS County Code,NHGIS Integrated County Code,1930: Persons: Total,1940: Persons: Total,1950: Persons: Total,1960: Persons: Total,1970: Persons: Total,1980: Persons: Total,1990: Persons: Total,2000: Persons: Total,2010: Persons: Total,2020: Persons: Total
"G1200450","Florida","12","120","Gulf County","045","0450",3182,6951,7460,9937,10096,10658,11504,13332,15863,14192
"G1200470","Florida","12","120","Hamilton County","047","0470",9454,9778,8981,7705,7787,8761,10930,13327,14799,14004
"G1200490","Florida","12","120","Hardee County","049","0490",10348,10158,10073,12370,14889,19379,19499,26938,27731,25327
"G1200510","Florida","12","120","Hendry County","051","0510",3492,5237,6051,8119,11859,18599,25773,36210,39140,39619
"G1200530","Florida","12","120","Hernando County","053","0530",4948,5641,6693,11205,17004,44469,101115,130802,172778,194515
"G1200550","Florida","12","120","Highlands County","055","0550",9192,9246,13636,21338,29507,47526,68432,87366,98786,101235
"G1200570","Florida","12","120","Hillsborough County","057","0570",153519,180148,249894,397788,490265,646960,834054,998948,1229226,1459762
"G1200590","Florida","12","120","Holmes County","059","0590",12924,15447,13988,10844,10720,14723,15778,18564,19927,19653
"G1200610","Florida","12","120","Indian River County","061","0610",6724,8957,11872,25309,35992,59896,90208,112947,138028,159788
"G1200630","Florida","12","120","Jackson County","063","0630",31969,34428,34645,36208,34434,39154,41375,46755,49746,47319
"G1200650","Florida","12","120","Jefferson County","065","0650",13408,12032,10413,9543,8778,10703,11296,12902,14761,14510
"G1200670","Florida","12","120","Lafayette County","067","0670",4361,4405,3440,2889,2892,4035,5578,7022,8870,8226
"G1200690","Florida","12","120","Lake County","069","0690",23161,27255,36340,57383,69305,104870,152104,210528,297052,383956
"G1200710","Florida","12","120","Lee County","071","0710",14990,17488,23404,54539,105216,205266,335113,440888,618754,760822
"G1200730","Florida","12","120","Leon County","073","0730",23476,31646,51590,74225,103047,148655,192493,239452,275487,292198
"G1200750","Florida","12","120","Levy County","075","0750",12456,12550,10637,10364,12756,19870,25923,34450,40801,42915
"G1200770","Florida","12","120","Liberty County","077","0770",4067,3752,3182,3138,3379,4260,5569,7021,8365,7974
"G1200790","Florida","12","120","Madison County","079","0790",15614,16190,14197,14154,13481,14894,16569,18733,19224,17968
"G1200810","Florida","12","120","Manatee County","081","0810",22502,26098,34704,69168,97115,148442,211707,264002,322833,399710
"G1200830","Florida","12","120","Marion County","083","0830",29578,31243,38187,51616,69030,122488,194833,258916,331298,375908
"G1200850","Florida","12","120","Martin County","085","0850",5111,6295,7807,16932,28035,64014,100900,126731,146318,158431
"G1200860","Florida","12","120","Miami-Dade County","086","0860",,,,,,,,2253362,2496435,2701767
"G1200870","Florida","12","120","Monroe County","087","0870",13624,14078,29957,47921,52586,63188,78024,79589,73090,82874
"G1200890","Florida","12","120","Nassau County","089","0890",9375,10826,12811,17189,20626,32894,43941,57663,73314,90352
"G1200910","Florida","12","120","Okaloosa County","091","0910",9897,12900,27533,61175,88187,109920,143776,170498,180822,211668
"G1200930","Florida","12","120","Okeechobee County","093","0930",4129,3000,3454,6424,11233,20264,29627,35910,39996,39644
"G1200950","Florida","12","120","Orange County","095","0950",49737,70074,114950,263540,344311,471016,677491,896344,1145956,1429908
"G1200970","Florida","12","120","Osceola County","097","0970",10699,10119,11406,19029,25267,49287,107728,172493,268685,388656
"G1200990","Florida","12","120","Palm Beach County","099","0990",51781,79989,114688,228106,348753,576863,863518,1131184,1320134,1492191
"G1201010","Florida","12","120","Pasco County","101","1010",10574,13981,20529,36785,75955,193643,281131,344765,464697,561891
"G1201030","Florida","12","120","Pinellas County","103","1030",62149,91852,159249,374665,522329,728531,851659,921482,916542,959107
"G1201050","Florida","12","120","Polk County","105","1050",72291,86665,123997,195139,227222,321652,405382,483924,602095,725046
"G1201070","Florida","12","120","Putnam County","107","1070",18096,18698,23615,32212,36290,50549,65070,70423,74364,73321
"G1201130","Florida","12","120","Santa Rosa County","113","1130",14083,16085,18554,29547,37741,55988,81608,117743,151372,188000
"G1201150","Florida","12","120","Sarasota County","115","1150",12440,16106,28827,76895,120413,202251,277776,325957,379448,434006
"G1201170","Florida","12","120","Seminole County","117","1170",18735,22304,26883,54947,83692,179752,287529,365196,422718,470856
"G1201090","Florida","12","120","St. Johns County","109","1090",18676,20012,24998,30034,30727,51303,83829,123135,190039,273425
"G1201110","Florida","12","120","St. Lucie County","111","1110",7057,11871,20180,39294,50836,87182,150171,192695,277789,329226
"G1201190","Florida","12","120","Sumter County","119","1190",10644,11041,11330,11869,14839,24272,31577,53345,93420,129752
"G1201210","Florida","12","120","Suwannee County","121","1210",15731,17073,16986,14961,15559,22287,26780,34844,41551,43474
"G1201230","Florida","12","120","Taylor County","123","1230",13136,11565,10416,13168,13641,16532,17111,19256,22570,21796
"G1201250","Florida","12","120","Union County","125","1250",7428,7094,8906,6043,8112,10166,10252,13442,15535,16147
"G1201270","Florida","12","120","Volusia County","127","1270",42757,53710,74229,125319,169487,258762,370712,443343,494593,553543
"G1201290","Florida","12","120","Wakulla County","129","1290",5468,5463,5258,5257,6308,10887,14202,22863,30776,33764
"G1201310","Florida","12","120","Walton County","131","1310",14576,14246,14725,15576,16087,21300,27760,40601,55043,75305
"G1201330","Florida","12","120","Washington County","133","1330",12180,12302,11888,11249,11453,14509,16919,20973,24896,25318
"G1300010","Georgia","13","130","Appling County","001","0010",13314,14497,14003,13246,12726,15565,15744,17419,18236,18444
"G1300030","Georgia","13","130","Atkinson County","003","0030",6894,7093,7362,6188,5879,6141,6213,7609,8375,8286
"G1300050","Georgia","13","130","Bacon County","005","0050",7055,8096,8940,8359,8233,9379,9566,10103,11096,11140
"G1300070","Georgia","13","130","Baker County","007","0070",7818,7344,5952,4543,3875,3808,3615,4074,3451,2876
"G1300090","Georgia","13","130","Baldwin County","009","0090",22878,24190,29706,34064,34240,34686,39530,44700,45720,43799
"G1300110","Georgia","13","130","Banks County","011","0110",9703,8733,6935,6497,6833,8702,10308,14422,18395,18035
"G1300130","Georgia","13","130","Barrow County","013","0130",12401,13064,13115,14485,16859,21354,29721,46144,69367,83505
"G1300150","Georgia","13","130","Bartow County","015","0150",25364,25283,27370,28267,32663,40760,55911,76019,100157,108901
"G1300170","Georgia","13","130","Ben Hill County","017","0170",13047,14523,14879,13633,13171,16000,16245,17484,17634,17194
"G1300190","Georgia","13","130","Berrien County","019","0190",14646,15370,13966,12038,11556,13525,14153,16235,19286,18160
"G1300210","Georgia","13","130","Bibb County","021","0210",77042,83783,114079,141249,143418,150256,149967,153887,155547,157346
"G1300230","Georgia","13","130","Bleckley County","023","0230",9133,9655,9218,9642,10291,10767,10430,11666,13063,12583
"G1300250","Georgia","13","130","Brantley County","025","0250",6895,6871,6387,5891,5940,8701,11077,14629,18411,18021
"G1300270","Georgia","13","130","Brooks County","027","0270",21330,20497,18169,15292,13739,15255,15398,16450,16243,16301
"G1300290","Georgia","13","130","Bryan County","029","0290",5952,6288,5965,6226,6539,10175,15438,23417,30233,44738
"G1300310","Georgia","13","130","Bulloch County","031","0310",26509,26010,24740,24263,31585,35785,43125,55983,70217,81099
"G1300330","Georgia","13","130","Burke County","033","0330",29224,26520,23458,20596,18255,19349,20579,22243,23316,24596
"G1300350","Georgia","13","130","Butts County","035","0350",9345,9182,9079,8976,10560,13665,15326,19522,23655,25434
"G1300370","Georgia","13","130","Calhoun County","037","0370",10576,10438,8578,7341,6606,5717,5013,6320,6694,5573
"G1300390","Georgia","13","130","Camden County","039","0390",6338,5910,7322,9975,11334,13371,30167,43664,50513,54768
"G1300395","Georgia","13","130","Campbell County",,"0395",9903,,,,,,,,,
"G1300430","Georgia","13","130","Candler County","043","0430",8991,9103,8063,6672,6412,7518,7744,9577,10998,10981
"G1300450","Georgia","13","130","Carroll County","045","0450",34272,34156,34112,36451,45404,56346,71422,87268,110527,119148
"G1300470","Georgia","13","130","Catoosa County","047","0470",9421,12199,15146,21101,28271,36991,42464,53282,63942,67872
"G1300490","Georgia","13","130","Charlton County","049","0490",4381,5256,4821,5313,5680,7343,8496,10282,12171,12518
"G1300510","Georgia","13","130","Chatham County","051","0510",105431,117970,151481,188299,187767,202226,216935,232048,265128,295291
"G1300530","Georgia","13","130","Chattahoochee County","053","0530",8894,15138,12149,13011,25813,21732,16934,14882,11267,9565
"G1300550","Georgia","13","130","Chattooga County","055","0550",15407,18532,21197,19954,20541,21856,22242,25470,26015,24965
"G1300570","Georgia","13","130","Cherokee County","057","0570",20003,20126,20750,23001,31059,51699,90204,141903,214346,266620
"G1300590","Georgia","13","130","Clarke County","059","0590",25613,28398,36550,45363,65177,74498,87594,101489,116714,128671
"G1300610","Georgia","13","130","Clay County","061","0610",6943,7064,5844,4551,3636,3553,3364,3357,3183,2848
"G1300630","Georgia","13","130","Clayton County","063","0630",10260,11655,22872,46365,98043,150357,182052,236517,259424,297595
"G1300650","Georgia","13","130","Clinch County","065","0650",7015,6437,6007,6545,6405,6660,6160,6878,6798,6749
"G1300670","Georgia","13","130","Cobb County","067","0670",35408,38272,61830,114174,196793,297718,447745,607751,688078,766149
"G1300690","Georgia","13","130","Coffee County","069","0690",19739,21541,23961,21953,22828,26894,29592,37413,42356,43092
"G1300710","Georgia","13","130","Colquitt County","071","0710",30622,33012,33999,34048,32200,35376,36645,42053,45498,45898
"G1300730","Georgia","13","130","Columbia County","073","0730",8793,9433,9525,13423,22327,40118,66031,89288,124053,156010
"G1300750","Georgia","13","130","Cook County","075","0750",11311,11919,12201,11822,12129,13490,13456,15771,17212,17229
"G1300770","Georgia","13","130","Coweta County","077","0770",25127,26972,27786,28893,32310,39268,53853,89215,127317,146158
"G1300790","Georgia","13","130","Crawford County","079","0790",7020,7128,6080,5816,5748,7684,8991,12495,12630,12130
"G1300810","Georgia","13","130","Crisp County","081","0810",17343,17540,17663,17768,18087,19489,20011,21996,23439,20128
"G1300830","Georgia","13","130","Dade County","083","0830",4146,5894,7364,8666,9910,12318,13147,15154,16633,16251
"G1300850","Georgia","13","130","Dawson County","085","0850",3502,4479,3712,3590,3639,4774,9429,15999,22330,26798
"G1300870","Georgia","13","130","Decatur County","087","0870",23622,22234,23620,25203,22310,25495,25511,28240,27842,29367
"G1300890","Georgia","13","130","DeKalb County","089","0890",70278,86942,136395,256782,415387,483024,545837,665865,691893,764382
"G1300910","Georgia","13","130","Dodge County","091","0910",21599,21022,17865,16483,15658,16955,17607,19171,21796,19925
"G1300930","Georgia","13","130","Dooly County","093","0930",18025,16886,14159,11474,10404,10826,9901,11525,14918,11208
"G1300950","Georgia","13","130","Dougherty County","095","0950",22306,28565,43617,75680,89639,100718,96311,96065,94565,85790
"G1300970","Georgia","13","130","Douglas County","097","0970",9461,10053,12173,16741,28659,54573,71120,92174,132403,144237
"G1300990","Georgia","13","130","Early County","099","0990",18273,18679,17413,13151,12682,13158,11854,12354,11008,10854
"G1301010","Georgia","13","130","Echols County","101","1010",2744,2964,2494,1876,1924,2297,2334,3754,4034,3697
"G1301030","Georgia","13","130","Effingham County","103","1030",10164,9646,9133,10144,13632,18327,25687,37535,52250,64769
"G1301050","Georgia","13","130","Elbert County","105","1050",18485,19618,18585,17835,17262,18758,18949,20511,20166,19637
"G1301070","Georgia","13","130","Emanuel County","107","1070",24101,23517,19789,17815,18189,20795,20546,21837,22598,22768
"G1301090","Georgia","13","130","Evans County","109","1090",7102,7401,6653,6952,7290,8428,8724,10495,11000,10774
"G1301110","Georgia","13","130","Fannin County","111","1110",12969,14752,15192,13620,13357,14748,15992,19798,23682,25319
"G1301130","Georgia","13","130","Fayette County","113","1130",8665,8170,7978,8199,11364,29043,62415,91263,106567,119194
"G1301150","Georgia","13","130","Floyd County","115","1150",48667,56141,62899,69130,73742,79800,81251,90565,96317,98584
"G1301170","Georgia","13","130","Forsyth County","117","1170",10624,11322,11005,12170,16928,27958,44083,98407,175511,251283
"G1301190","Georgia","13","130","Franklin County","119","1190",15902,15612,14446,13274,12784,15185,16650,20285,22084,23424
"G1301210","Georgia","13","130","Fulton County","121","1210",318587,392886,473572,556326,607592,589904,648951,816006,920581,1066710
"G1301230","Georgia","13","130","Gilmer County","123","1230",7344,9001,9963,8922,8956,11110,13368,23456,28292,31353
"G1301250","Georgia","13","130","Glascock County","125","1250",4388,4547,3579,2672,2280,2382,2357,2556,3082,2884
"G1301270","Georgia","13","130","Glynn County","127","1270",19400,21920,29046,41954,50528,54981,62496,67568,79626,84499
"G1301290","Georgia","13","130","Gordon County","129","1290",16846,18445,18922,19228,23570,30070,35072,44104,55186,57544
"G1301310","Georgia","13","130","Grady County","131","1310",19200,19654,18928,18015,17826,19845,20279,23659,25011,26236
"G1301330","Georgia","13","130","Greene County","133","1330",12616,13709,12843,11193,10212,11391,11793,14406,15994,18915
"G1301350","Georgia","13","130","Gwinnett County","135","1350",27853,29087,32320,43541,72349,166903,352910,588448,805321,957062
"G1301370","Georgia","13","130","Habersham County","137","1370",12748,14771,16553,18116,20691,25020,27621,35902,43041,46031
"G1301390","Georgia","13","130","Hall County","139","1390",30313,34822,40113,49739,59405,75649,95428,139277,179684,203136
"G1301410","Georgia","13","130","Hancock County","141","1410",13070,12764,11052,9979,9019,9466,8908,10076,9429,8735
"G1301430","Georgia","13","130","Haralson County","143","1430",13263,14377,14663,14543,15927,18422,21966,25690,28780,29919
"G1301450","Georgia","13","130","Harris County","145","1450",11140,11428,11265,11167,11520,15464,17788,23695,32024,34668
"G1301470","Georgia","13","130","Hart County","147","1470",15174,15512,14495,15229,15814,18585,19712,22997,25213,25828
"G1301490","Georgia","13","130","Heard County","149","1490",9102,8610,6975,5333,5354,6520,8628,11012,11834,11412
"G1301510","Georgia","13","130","Henry County","151","1510",15924,15119,15857,17619,23724,36309,58741,119341,203922,240712
"G1301530","Georgia","13","130","Houston County","153","1530",11280,11303,20964,39154,62924,77605,89208,110765,139900,163633
"G1301550","Georgia","13","130","Irwin County","155","1550",12199,12936,11973,9211,8036,8988,8649,9931,9538,9666
"G1301570","Georgia","13","130","Jackson County","157","1570",21609,20089,18997,18499,21093,25343,30005,41589,60485,75907
"G1301590","Georgia","13","130","Jasper County","159","1590",8594,8772,7473,6135,5760,7553,8453,11426,13900,14588
"G1301610","Georgia","13","130","Jeff Davis County","161","1610",8118,8841,9299,8914,9425,11473,12032,12684,15068,14779
"G1301630","Georgia","13","130","Jefferson County","163","1630",20727,20040,18855,17468,17174,18403,17408,17266,16930,15709
"G1301650","Georgia","13","130","Jenkins County","165","1650",12908,11843,10264,9148,8332,8841,8247,8575,8340,8674
"G1301670","Georgia","13","130","Johnson County","167","1670",12681,12953,9893,8048,7727,8660,8329,8560,9980,9189
"G1301690","Georgia","13","130","Jones County","169","1690",8992,8331,7538,8468,12218,16579,20739,23639,28669,28347
"G1301710","Georgia","13","130","Lamar County","171","1710",9745,10091,10242,10240,10688,12215,13038,15912,18317,18500
"G1301730","Georgia","13","130","Lanier County","173","1730",5190,5632,5151,5097,5031,5654,5531,7241,10078,9877
"G1301750","Georgia","13","130","Laurens County","175","1750",32693,33606,33123,32313,32738,36990,39988,44874,48434,49570
"G1301770","Georgia","13","130","Lee County","177","1770",8328,7837,6674,6204,7044,11684,16250,24757,28298,33163
"G1301790","Georgia","13","130","Liberty County","179","1790",8153,8595,8444,14487,17569,37583,52745,61610,63453,65256
"G1301810","Georgia","13","130","Lincoln County","181","1810",7847,7042,6462,5906,5895,6716,7442,8348,7996,7690
"G1301830","Georgia","13","130","Long County","183","1830",4180,4086,3598,3874,3746,4524,6202,10304,14464,16168
"G1301850","Georgia","13","130","Lowndes County","185","1850",29994,31860,35211,49270,55112,67972,75981,92115,109233,118251
"G1301870","Georgia","13","130","Lumpkin County","187","1870",4927,6223,6574,7241,8728,10762,14573,21016,29966,33488
"G1301930","Georgia","13","130","Macon County","193","1930",16643,15947,14213,13170,12933,14003,13114,14074,14740,12082
"G1301950","Georgia","13","130","Madison County","195","1950",14921,13431,12238,11246,13517,17747,21050,25730,28120,30120
"G1301970","Georgia","13","130","Marion County","197","1970",6968,6954,6521,5477,5099,5297,5590,7144,8742,7498
"G1301890","Georgia","13","130","McDuffie County","189","1890",9014,10878,11443,12627,15276,18546,20119,21231,21875,21632
"G1301910","Georgia","13","130","McIntosh County","191","1910",5763,5292,6008,6364,7371,8046,8634,10847,14333,10975
"G1301990","Georgia","13","130","Meriwether County","199","1990",22437,22055,21055,19756,19461,21229,22411,22534,21992,20613
"G1302010","Georgia","13","130","Miller County","201","2010",9076,9998,9023,6908,6397,7038,6280,6383,6125,6000
"G1302015","Georgia","13","130","Milton County",,"2015",6730,,,,,,,,,
"G1302050","Georgia","13","130","Mitchell County","205","2050",23620,23261,22528,19652,18956,21114,20275,23932,23498,21755
"G1302070","Georgia","13","130","Monroe County","207","2070",11606,10749,10523,10495,10991,14610,17113,21757,26424,27957
"G1302090","Georgia","13","130","Montgomery County","209","2090",10020,9668,7901,6284,6099,7011,7163,8270,9123,8610
"G1302110","Georgia","13","130","Morgan County","211","2110",12488,12713,11899,10280,9904,11572,12883,15457,17868,20097
"G1302130","Georgia","13","130","Murray County","213","2130",9215,11137,10676,10447,12986,19685,26147,36506,39628,39973
"G1302150","Georgia","13","130","Muscogee County","215","2150",57558,75494,118028,158623,167377,170108,179278,186291,189885,206922
"G1302170","Georgia","13","130","Newton County","217","2170",17290,18576,20185,20999,26282,34489,41808,62001,99958,112483
"G1302190","Georgia","13","130","Oconee County","219","2190",8082,7576,7009,6304,7915,12427,17618,26225,32808,41799
"G1302210","Georgia","13","130","Oglethorpe County","221","2210",12927,12430,9958,7926,7598,8929,9763,12635,14899,14825
"G1302230","Georgia","13","130","Paulding County","223","2230",12327,12832,11752,13101,17520,26110,41611,81678,142324,168661
"G1302250","Georgia","13","130","Peach County","225","2250",10268,10378,11705,13846,15990,19151,21189,23668,27695,27981
"G1302270","Georgia","13","130","Pickens County","227","2270",9687,9136,8855,8903,9620,11652,14432,22983,29431,33216
"G1302290","Georgia","13","130","Pierce County","229","2290",12522,11800,11112,9678,9281,11897,13328,15636,18758,19716
"G1302310","Georgia","13","130","Pike County","231","2310",10853,10375,8459,7138,7316,8937,10224,13688,17869,18889
"G1302330","Georgia","13","130","Polk County","233","2330",25141,28467,30976,28015,29656,32386,33815,38127,41475,42853
"G1302350","Georgia","13","130","Pulaski County","235","2350",9005,9829,8808,8204,8066,8950,8108,9588,12010,9855
"G1302370","Georgia","13","130","Putnam County","237","2370",8367,8514,7731,7798,8394,10295,14137,18812,21218,22047
"G1302390","Georgia","13","130","Quitman County","239","2390",3820,3435,3015,2432,2180,2357,2209,2598,2513,2235
"G1302410","Georgia","13","130","Rabun County","241","2410",6331,7821,7424,7456,8327,10466,11648,15050,16276,16883
"G1302430","Georgia","13","130","Randolph County","243","2430",17174,16609,13804,11078,8734,9599,8023,7791,7719,6425
"G1302450","Georgia","13","130","Richmond County","245","2450",72990,81863,108876,135601,162437,181629,189719,199775,200549,206607
"G1302470","Georgia","13","130","Rockdale County","247","2470",7247,7724,8464,10572,18152,36747,54091,70111,85215,93570
"G1302490","Georgia","13","130","Schley County","249","2490",5347,5033,4036,3256,3097,3433,3588,3766,5010,4547
"G1302510","Georgia","13","130","Screven County","251","2510",20503,20353,18000,14919,12591,14043,13842,15374,14593,14067
"G1302530","Georgia","13","130","Seminole County","253","2530",7389,8492,7904,6802,7059,9057,9010,9369,8729,9147
"G1302550","Georgia","13","130","Spalding County","255","2550",23495,28427,31045,35404,39514,47899,54457,58417,64073,67306
"G1302570","Georgia","13","130","Stephens County","257","2570",11740,12972,16647,18391,20331,21763,23257,25435,26175,26784
"G1302590","Georgia","13","130","Stewart County","259","2590",11114,10603,9194,7371,6511,5896,5654,5252,6058,5314
"G1302610","Georgia","13","130","Sumter County","261","2610",26800,24502,24208,24652,26931,29360,30228,33200,32819,29616
"G1302630","Georgia","13","130","Talbot County","263","2630",8458,8141,7687,7127,6625,6536,6524,6498,6865,5733
"G1302650","Georgia","13","130","Taliaferro County","265","2650",6172,6278,4515,3370,2423,2032,1915,2077,1717,1559
"G1302670","Georgia","13","130","Tattnall County","267","2670",15411,16243,15939,15837,16557,18134,17722,22305,25520,22842
"G1302690","Georgia","13","130","Taylor County","269","2690",10617,10768,9113,8311,7865,7902,7642,8815,8906,7816
"G1302710","Georgia","13","130","Telfair County","271","2710",14997,15145,13221,11715,11381,11445,11000,11794,16500,12477
"G1302730","Georgia","13","130","Terrell County","273","2730",18290,16675,14314,12742,11416,12017,10653,10970,9315,9185
"G1302750","Georgia","13","130","Thomas County","275","2750",32612,31289,33932,34319,34515,38098,38986,42737,44720,45798
"G1302770","Georgia","13","130","Tift County","277","2770",16068,18599,22645,23487,27288,32862,34998,38407,40118,41344
"G1302790","Georgia","13","130","Toombs County","279","2790",17165,16952,17382,16837,19151,22592,24072,26067,27223,27030
"G1302810","Georgia","13","130","Towns County","281","2810",4346,4925,4803,4538,4565,5638,6754,9319,10471,12493
"G1302830","Georgia","13","130","Treutlen County","283","2830",7488,7632,6522,5874,5647,6087,5994,6854,6885,6406
"G1302850","Georgia","13","130","Troup County","285","2850",36752,43879,49841,47189,44466,50003,55536,58779,67044,69426
"G1302870","Georgia","13","130","Turner County","287","2870",11196,10846,10479,8439,8790,9510,8703,9504,8930,9006
"G1302890","Georgia","13","130","Twiggs County","289","2890",8372,9117,8308,7935,8222,9354,9806,10590,9023,8022
"G1302910","Georgia","13","130","Union County","291","2910",6340,7680,7318,6510,6811,9390,11993,17289,21356,24632
"G1302930","Georgia","13","130","Upson County","293","2930",19509,25064,25078,23800,23505,25998,26300,27597,27153,27700
"G1302950","Georgia","13","130","Walker County","295","2950",26206,31024,38198,45264,50691,56470,58340,61053,68756,67654
"G1302970","Georgia","13","130","Walton County","297","2970",21118,20777,20230,20481,23404,31211,38586,60687,83768,96673
"G1302990","Georgia","13","130","Ware County","299","2990",26558,27929,30289,34219,33525,37180,35471,35483,36312,36251
"G1303010","Georgia","13","130","Warren County","301","3010",11181,10236,8779,7360,6669,6583,6078,6336,5834,5215
"G1303030","Georgia","13","130","Washington County","303","3030",25030,24230,21012,18903,17480,18842,19112,21176,21187,19988
"G1303050","Georgia","13","130","Wayne County","305","3050",12647,13122,14248,17921,17858,20750,22356,26565,30099,30144
"G1303070","Georgia","13","130","Webster County","307","3070",5032,4726,4081,3247,2362,2341,2263,2390,2799,2348
"G1303090","Georgia","13","130","Wheeler County","309","3090",9149,8535,6712,5342,4596,5155,4903,6179,7421,7471
"G1303110","Georgia","13","130","White County","311","3110",6056,6417,5951,6935,7742,10120,13006,19944,27144,28003
"G1303130","Georgia","13","130","Whitfield County","313","3130",20808,26105,34432,42109,55108,65789,72462,83525,102599,102864
"G1303150","Georgia","13","130","Wilcox County","315","3150",13439,12755,10167,7905,6998,7682,7008,8577,9255,8766
"G1303170","Georgia","13","130","Wilkes County","317","3170",15944,15084,12388,10961,10184,10951,10597,10687,10593,9565
"G1303190","Georgia","13","130","Wilkinson County","319","3190",10844,11025,9781,9250,9393,10368,10228,10220,9563,8877
"G1303210","Georgia","13","130","Worth County","321","3210",21094,21374,19357,16682,14770,18064,19745,21967,21679,20784
"G1500010","Hawaii","15","150","Hawaii County","001","0010",,,,61332,63468,92053,120317,148677,185079,200629
"G1500030","Hawaii","15","150","Honolulu County","003","0030",,,,500409,629176,762565,836231,876156,953207,1016508
"G1500050","Hawaii","15","150","Kalawao County","005","0050",,,,279,,144,130,147,90,82
"G1500070","Hawaii","15","150","Kauai County","007","0070",,,,28176,29761,39082,51177,58463,67091,73298
"G1500090","Hawaii","15","150","Maui County","009","0090",,,,42576,46156,70847,100374,128094,154834,164754
"G1550015","Hawaii Territory",,"155","Hawaii County",,"0015",73325,73276,68350,,,,,,,
"G1550035","Hawaii Territory",,"155","Honolulu County",,"0035",202923,258256,353020,,,,,,,
"G1550075","Hawaii Territory",,"155","Kauai County",,"0075",35942,35818,29905,,,,,,,
"G1550095","Hawaii Territory",,"155","Maui County",,"0095",56146,55980,48519,,,,,,,
"G1600010","Idaho","16","160","Ada County","001","0010",37925,50401,70649,93460,112230,173036,205775,300904,392365,494967
"G1600030","Idaho","16","160","Adams County","003","0030",2867,3407,3347,2978,2877,3347,3254,3476,3976,4379
"G1600050","Idaho","16","160","Bannock County","005","0050",31266,34759,41745,49342,52200,65421,66026,75565,82839,87018
"G1600070","Idaho","16","160","Bear Lake County","007","0070",7872,7911,6834,7148,5801,6931,6084,6411,5986,6372
"G1600090","Idaho","16","160","Benewah County","009","0090",6371,7332,6173,6036,6230,8292,7937,9171,9285,9530
"G1600110","Idaho","16","160","Bingham County","011","0110",18561,21044,23271,28218,29167,36489,37583,41735,45607,47992
"G1600130","Idaho","16","160","Blaine County","013","0130",3768,5295,5384,4598,5749,9841,13552,18991,21376,24272
"G1600150","Idaho","16","160","Boise County","015","0150",1847,2333,1776,1646,1763,2999,3509,6670,7028,7610
"G1600170","Idaho","16","160","Bonner County","017","0170",13152,15667,14853,15587,15560,24163,26622,36835,40877,47110
"G1600190","Idaho","16","160","Bonneville County","019","0190",19664,25697,30210,46906,51250,65980,72207,82522,104234,123964
"G1600210","Idaho","16","160","Boundary County","021","0210",4555,5987,5908,5809,6371,7289,8332,9871,10972,12056
"G1600230","Idaho","16","160","Butte County","023","0230",1934,1877,2722,3498,2925,3342,2918,2899,2891,2574
"G1600250","Idaho","16","160","Camas County","025","0250",1411,1360,1079,917,728,818,727,991,1117,1077
"G1600270","Idaho","16","160","Canyon County","027","0270",30930,40987,53597,57662,61288,83756,90076,131441,188923,231105
"G1600290","Idaho","16","160","Caribou County","029","0290",2121,2284,5576,5976,6534,8695,6963,7304,6963,7027
"G1600310","Idaho","16","160","Cassia County","031","0310",13116,14430,14629,16121,17017,19427,19532,21416,22952,24655
"G1600330","Idaho","16","160","Clark County","033","0330",1122,1005,918,915,741,798,762,1022,982,790
"G1600350","Idaho","16","160","Clearwater County","035","0350",6599,8243,8217,8548,10871,10390,8505,8930,8761,8734
"G1600370","Idaho","16","160","Custer County","037","0370",3162,3549,3318,2996,2967,3385,4133,4342,4368,4275
"G1600390","Idaho","16","160","Elmore County","039","0390",4491,5518,6687,16719,17479,21565,21205,29130,27038,28666
"G1600410","Idaho","16","160","Franklin County","041","0410",9379,10229,9867,8457,7373,8895,9232,11329,12786,14194
"G1600430","Idaho","16","160","Fremont County","043","0430",9925,10304,9351,8679,8710,10813,10937,11819,13242,13388
"G1600450","Idaho","16","160","Gem County","045","0450",7419,9544,8730,9127,9387,11972,11844,15181,16719,19123
"G1600470","Idaho","16","160","Gooding County","047","0470",7580,9257,11101,9544,8645,11874,11633,14155,15464,15598
"G1600490","Idaho","16","160","Idaho County","049","0490",10107,12691,11423,13542,12891,14769,13783,15511,16267,16541
"G1600510","Idaho","16","160","Jefferson County","051","0510",9171,10762,10495,11672,11619,15304,16543,19155,26140,30891
"G1600530","Idaho","16","160","Jerome County","053","0530",8358,9900,12080,11712,10253,14840,15138,18342,22374,24237
"G1600550","Idaho","16","160","Kootenai County","055","0550",19469,22283,24947,29556,35332,59770,69795,108685,138494,171362
"G1600570","Idaho","16","160","Latah County","057","0570",17798,18804,20971,21170,24891,28749,30617,34935,37244,39517
"G1600590","Idaho","16","160","Lemhi County","059","0590",4643,6521,6278,5816,5566,7460,6899,7806,7936,7974
"G1600610","Idaho","16","160","Lewis County","061","0610",5238,4666,4208,4423,3867,4118,3516,3747,3821,3533
