"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2085,"SLR_Moderate","not-specified",-936118.695246799,-3600866.21614864
2086,"SLR_Moderate","not-specified",-965573.048950023,-3714048.96268951
2087,"SLR_Moderate","not-specified",-995509.031780924,-3829081.33511182
2088,"SLR_Moderate","not-specified",-1025926.6437395,-3945963.33341556
2089,"SLR_Moderate","not-specified",-1056825.88482575,-4064694.95760073
2090,"SLR_Moderate","not-specified",-1088206.75503968,-4185276.20766732
2091,"SLR_Moderate","not-specified",-1120069.25438128,-4307707.08361536
2092,"SLR_Moderate","not-specified",-1152413.38285056,-4431987.58544482
2093,"SLR_Moderate","not-specified",-1185239.14044751,-4558117.71315571
2094,"SLR_Moderate","not-specified",-1218546.52717214,-4686097.46674803
2095,"SLR_Moderate","not-specified",-1252335.54302444,-4815926.84622178
2096,"SLR_Moderate","not-specified",-1286606.18800442,-4947605.85157697
2097,"SLR_Moderate","not-specified",-1321358.46211208,-5081134.48281359
2098,"SLR_Moderate","not-specified",-1356592.36534741,-5216512.73993164
2099,"SLR_Moderate","not-specified",-1392307.89771041,-5353740.62293111
2100,"SLR_Moderate","not-specified",-1428505.05920109,-5492818.13181202
2020,"SLR_High","not-specified",-58693.7594648428,-226848.755672581
2021,"SLR_High","not-specified",-55397.3324861411,-214256.942276168
2022,"SLR_High","not-specified",-52903.6207202334,-204747.838682141
2023,"SLR_High","not-specified",-51212.6241671169,-198321.444890502
2024,"SLR_High","not-specified",-50324.3428267889,-194977.760901223
2025,"SLR_High","not-specified",-50238.7766992577,-194716.786714352
2026,"SLR_High","not-specified",-50955.9257845186,-197538.522329859
2027,"SLR_High","not-specified",-52475.7900825717,-203442.967747759
2028,"SLR_High","not-specified",-54798.369593416,-212430.122968036
2029,"SLR_High","not-specified",-57923.6643170524,-224499.987990688
2030,"SLR_High","not-specified",-61851.6742534811,-239652.562815737
2031,"SLR_High","not-specified",-66582.3994027028,-257887.847443167
2032,"SLR_High","not-specified",-72115.8397647167,-279205.841872978
2033,"SLR_High","not-specified",-78451.9953395227,-303606.546105176
2034,"SLR_High","not-specified",-85590.8661271218,-331089.960139766
2035,"SLR_High","not-specified",-93532.452127514,-361656.083976734
2036,"SLR_High","not-specified",-102276.753340697,-395304.917616095
2037,"SLR_High","not-specified",-111823.769766672,-432036.461057834
2038,"SLR_High","not-specified",-122173.501405438,-471850.714301943
2039,"SLR_High","not-specified",-133325.948257,-514747.677348453
2040,"SLR_High","not-specified",-145281.110321353,-560727.350197348
2041,"SLR_High","not-specified",-158038.987598497,-609789.732848629
2042,"SLR_High","not-specified",-171599.580088433,-661934.825302284
2043,"SLR_High","not-specified",-185962.887791163,-717162.627558331
2044,"SLR_High","not-specified",-201128.910706686,-775473.139616761
2045,"SLR_High","not-specified",-217097.648834999,-836866.361477576
2046,"SLR_High","not-specified",-233869.102176103,-901342.293140765
2047,"SLR_High","not-specified",-251443.270730003,-968900.934606358
2048,"SLR_High","not-specified",-269820.154496696,-1039542.28587433
2049,"SLR_High","not-specified",-288999.753476179,-1113266.34694468
2050,"SLR_High","not-specified",-308982.067668456,-1190073.11781742
2051,"SLR_High","not-specified",-329767.097073523,-1269962.59849254
2052,"SLR_High","not-specified",-351354.841691383,-1352934.78897005
2053,"SLR_High","not-specified",-373745.301522036,-1438989.68924994
2054,"SLR_High","not-specified",-396938.476565481,-1528127.29933222
2055,"SLR_High","not-specified",-420934.366821718,-1620347.61921687
2056,"SLR_High","not-specified",-445732.972290748,-1715650.64890392
2057,"SLR_High","not-specified",-471334.292972572,-1814036.38839336
2058,"SLR_High","not-specified",-497738.328867186,-1915504.83768517
2059,"SLR_High","not-specified",-524945.07997459,-2020055.99677936
2060,"SLR_High","not-specified",-552954.546294789,-2127689.86567595
2061,"SLR_High","not-specified",-581766.727827781,-2238406.44437492
2062,"SLR_High","not-specified",-611381.624573567,-2352205.73287628
2063,"SLR_High","not-specified",-641799.236532143,-2469087.73118002
2064,"SLR_High","not-specified",-673019.56370351,-2589052.43928613
2065,"SLR_High","not-specified",-705042.606087671,-2712099.85719465
2066,"SLR_High","not-specified",-737868.363684623,-2838229.98490553
2067,"SLR_High","not-specified",-771496.836494369,-2967442.82241881
2068,"SLR_High","not-specified",-805928.024516906,-3099738.36973447
2069,"SLR_High","not-specified",-841161.927752236,-3235116.62685252
2070,"SLR_High","not-specified",-877198.546200359,-3373577.59377295
2071,"SLR_High","not-specified",-914037.879861274,-3515121.27049577
2072,"SLR_High","not-specified",-951679.928734982,-3659747.65702097
2073,"SLR_High","not-specified",-990124.692821479,-3807456.75334854
2074,"SLR_High","not-specified",-1029372.17212077,-3958248.55947851
2075,"SLR_High","not-specified",-1069422.36663286,-4112123.07541087
2076,"SLR_High","not-specified",-1110275.27635773,-4269080.30114561
2077,"SLR_High","not-specified",-1151930.9012954,-4429120.23668273
2078,"SLR_High","not-specified",-1194389.24144586,-4592242.88202224
2079,"SLR_High","not-specified",-1237650.29680911,-4758448.23716414
2080,"SLR_High","not-specified",-1281714.06738516,-4927736.30210841
2081,"SLR_High","not-specified",-1326580.553174,-5100107.07685506
2082,"SLR_High","not-specified",-1372249.75417563,-5275560.56140411
2083,"SLR_High","not-specified",-1418721.67039005,-5454096.75575554
2084,"SLR_High","not-specified",-1465996.30181726,-5635715.65990936
2085,"SLR_High","not-specified",-1514073.64845727,-5820417.27386557
2086,"SLR_High","not-specified",-1562953.71031007,-6008201.59762414
2087,"SLR_High","not-specified",-1612636.48737566,-6199068.63118511
2088,"SLR_High","not-specified",-1663121.97965405,-6393018.37454847
2089,"SLR_High","not-specified",-1714410.18714523,-6590050.8277142
2090,"SLR_High","not-specified",-1766501.10984919,-6790165.99068233
2091,"SLR_High","not-specified",-1819394.74776595,-6993363.86345284
2092,"SLR_High","not-specified",-1873091.10089551,-7199644.44602573
2093,"SLR_High","not-specified",-1927590.16923785,-7409007.738401
2094,"SLR_High","not-specified",-1982891.95279299,-7621453.74057866
2095,"SLR_High","not-specified",-2038996.45156092,-7836982.4525587
2096,"SLR_High","not-specified",-2095903.66554164,-8055593.87434114
2097,"SLR_High","not-specified",-2153613.59473516,-8277288.00592596
2098,"SLR_High","not-specified",-2212126.23914147,-8502064.84731316
2099,"SLR_High","not-specified",-2271441.59876057,-8729924.39850274
2100,"SLR_High","not-specified",-2331559.67359246,-8960866.65949471
2020,"Temp_Low","not-specified",-61273.387771879,-236853.621323376
2021,"Temp_Low","not-specified",-59066.4655573541,-228426.254401572
2022,"Temp_Low","not-specified",-56859.5433428321,-219998.887479774
2023,"Temp_Low","not-specified",-54652.6211283073,-211571.520557969
2024,"Temp_Low","not-specified",-52445.6989137806,-203144.153636153
2025,"Temp_Low","not-specified",-50238.7766992577,-194716.786714352
2026,"Temp_Low","not-specified",-48031.8544847347,-186289.419792547
2027,"Temp_Low","not-specified",-45824.9322702099,-177862.052870746
2028,"Temp_Low","not-specified",-43618.010055686,-169434.685948941
2029,"Temp_Low","not-specified",-41411.0878411612,-161007.319027133
2030,"Temp_Low","not-specified",-39204.1656266382,-152579.952105332
2031,"Temp_Low","not-specified",-36997.2434121134,-144152.585183527
2032,"Temp_Low","not-specified",-34790.3211975886,-135725.218261722
2033,"Temp_Low","not-specified",-32583.3989830637,-127297.85133991
2034,"Temp_Low","not-specified",-30376.4767685399,-118870.484418109
2035,"Temp_Low","not-specified",-28169.554554016,-110443.117496304
2036,"Temp_Low","not-specified",-25962.632339493,-102015.750574503
2037,"Temp_Low","not-specified",-23755.71012497,-93588.3836527052
2038,"Temp_Low","not-specified",-21548.7879104424,-85161.0167308855
2039,"Temp_Low","not-specified",-19341.8656959195,-76733.6498090844
2040,"Temp_Low","not-specified",-17134.9434813956,-68306.2828872832
2041,"Temp_Low","not-specified",-14928.0212668708,-59878.9159654784
2042,"Temp_Low","not-specified",-12721.0990523459,-51451.5490436698
2043,"Temp_Low","not-specified",-10514.1768378221,-43024.182121865
2044,"Temp_Low","not-specified",-8307.2546232991,-34596.8152000639
2045,"Temp_Low","not-specified",-6100.33240877428,-26169.448278259
2046,"Temp_Low","not-specified",-3893.41019424853,-17742.0813564467
2047,"Temp_Low","not-specified",-1686.48797972464,-9314.7144346456
2048,"Temp_Low","not-specified",520.434234797387,-887.347512844484
2049,"Temp_Low","not-specified",2727.35644932221,7540.01940896036
2050,"Temp_Low","not-specified",4934.27866384517,15967.3863307615
2051,"Temp_Low","not-specified",7141.20087837185,24394.7532525701
2052,"Temp_Low","not-specified",9348.12309289667,32822.1201743823
2053,"Temp_Low","not-specified",11555.0453074196,41249.4870961835
2054,"Temp_Low","not-specified",13761.9675219435,49676.8540179809
2055,"Temp_Low","not-specified",15968.8897364683,58104.2209397932
2056,"Temp_Low","not-specified",18175.8119509922,66531.5878615943
2057,"Temp_Low","not-specified",20382.7341655161,74958.9547833991
2058,"Temp_Low","not-specified",22589.65638004,83386.321705204
2059,"Temp_Low","not-specified",24796.5785945667,91813.6886270163
2060,"Temp_Low","not-specified",27003.5008090915,100241.055548817
2061,"Temp_Low","not-specified",29210.4230236126,108668.422470619
2062,"Temp_Low","not-specified",31417.3452381374,117095.789392423
2063,"Temp_Low","not-specified",33624.2674526604,125523.156314224
2064,"Temp_Low","not-specified",35831.1896671861,133950.523236037
2065,"Temp_Low","not-specified",38038.11188171,142377.890157838
2066,"Temp_Low","not-specified",40245.0340962348,150805.257079646
2067,"Temp_Low","not-specified",42451.9563107587,159232.624001451
2068,"Temp_Low","not-specified",44658.8785252845,167659.99092326
2069,"Temp_Low","not-specified",46865.8007398074,176087.357845061
2070,"Temp_Low","not-specified",49072.7229543313,184514.724766862
2071,"Temp_Low","not-specified",51279.6451688552,192942.091688663
2072,"Temp_Low","not-specified",53486.5673833772,201369.458610472
2073,"Temp_Low","not-specified",55693.4895979049,209796.825532284
2074,"Temp_Low","not-specified",57900.4118124287,218224.192454085
2075,"Temp_Low","not-specified",60107.3340269526,226651.55937589
2076,"Temp_Low","not-specified",62314.2562414756,235078.926297687
2077,"Temp_Low","not-specified",64521.1784560013,243506.2932195
2078,"Temp_Low","not-specified",66728.1006705252,251933.660141301
2079,"Temp_Low","not-specified",68935.0228850482,260361.027063102
2080,"Temp_Low","not-specified",71141.9450995721,268788.393984903
2081,"Temp_Low","not-specified",73348.8673140988,277215.760906723
2082,"Temp_Low","not-specified",75555.7895286236,285643.127828524
2083,"Temp_Low","not-specified",77762.7117431465,294070.494750329
2084,"Temp_Low","not-specified",79969.6339576695,302497.861672126
2085,"Temp_Low","not-specified",82176.5561721925,310925.228593927
2086,"Temp_Low","not-specified",84383.4783867182,319352.59551574
2087,"Temp_Low","not-specified",86590.4006012421,327779.962437544
2088,"Temp_Low","not-specified",88797.3228157679,336207.329359349
2089,"Temp_Low","not-specified",91004.2450302908,344634.696281154
2090,"Temp_Low","not-specified",93211.1672448175,353062.063202963
2091,"Temp_Low","not-specified",95418.0894593405,361489.430124768
2092,"Temp_Low","not-specified",97625.0116738634,369916.797046569
2093,"Temp_Low","not-specified",99831.9338883873,378344.16396837
2094,"Temp_Low","not-specified",102038.856102912,386771.530890178
2095,"Temp_Low","not-specified",104245.778317438,395198.897811987
2096,"Temp_Low","not-specified",106452.700531962,403626.264733792
2097,"Temp_Low","not-specified",108659.622746485,412053.631655593
2098,"Temp_Low","not-specified",110866.544961009,420480.998577398
2099,"Temp_Low","not-specified",113073.467175534,428908.365499206
2100,"Temp_Low","not-specified",115280.389390057,437335.732421004
2020,"Temp_Moderate","not-specified",-67580.1720053494,-261122.990413676
2021,"Temp_Moderate","not-specified",-64111.8929441307,-247841.749673813
2022,"Temp_Moderate","not-specified",-60643.6138829138,-234560.50893395
2023,"Temp_Moderate","not-specified",-57175.334821696,-221279.26819409
2024,"Temp_Moderate","not-specified",-53707.0557604754,-207998.027454212
2025,"Temp_Moderate","not-specified",-50238.7766992577,-194716.786714352
2026,"Temp_Moderate","not-specified",-46770.4976380408,-181435.545974485
2027,"Temp_Moderate","not-specified",-43302.2185768221,-168154.305234625
2028,"Temp_Moderate","not-specified",-39833.9395156043,-154873.064494766
2029,"Temp_Moderate","not-specified",-36365.6604543856,-141591.823754891
2030,"Temp_Moderate","not-specified",-32897.3813931678,-128310.583015032
2031,"Temp_Moderate","not-specified",-29429.102331949,-115029.342275165
2032,"Temp_Moderate","not-specified",-25960.8232707303,-101748.101535301
2033,"Temp_Moderate","not-specified",-22492.5442095125,-88466.8607954304
2034,"Temp_Moderate","not-specified",-19024.2651482938,-75185.6200555707
2035,"Temp_Moderate","not-specified",-15555.9860870769,-61904.3793157074
2036,"Temp_Moderate","not-specified",-12087.7070258591,-48623.1385758477
2037,"Temp_Moderate","not-specified",-8619.42796464135,-35341.8978359844
2038,"Temp_Moderate","not-specified",-5151.14890341983,-22060.6570961061
2039,"Temp_Moderate","not-specified",-1682.8698422039,-8779.41635624645
